日期,星期,最高气温,最低气温,天气,风向,风力
2013-03-07,星期四,25℃,4℃,晴,西风,小于3级
2013-03-08,星期五,27℃,9℃,晴转多云,东风,小于3级
2013-03-09,星期六,24℃,14℃,多云,西风~东风,小于3级
2013-03-10,星期日,18℃,9℃,扬沙转多云,北风~东北风,3-4级
2013-03-11,星期一,17℃,8℃,阴,东风,小于3级
2013-03-12,星期二,16℃,6℃,小雨转多云,西南风~南风,小于3级
2013-03-13,星期三,19℃,7℃,晴转多云,西风,小于3级
2013-03-14,星期四,16℃,7℃,阴转多云,东风,小于3级
2013-03-15,星期五,18℃,7℃,多云,东风,小于3级
2013-03-16,星期六,13℃,7℃,阴转小雨,东风,小于3级
2013-03-17,星期日,21℃,8℃,小雨转多云,西北风,3-4级
2013-03-18,星期一,26℃,8℃,晴,西北风,3-4级
2013-03-19,星期二,27℃,10℃,晴,西风,小于3级
2013-03-20,星期三,24℃,10℃,晴转多云,西南风,小于3级
2013-03-21,星期四,22℃,10℃,多云转阴,东南风,小于3级
2013-03-22,星期五,21℃,8℃,多云,西南风,小于3级
2013-03-23,星期六,25℃,9℃,多云转晴,西南风~西北风,小于3级
2013-03-24,星期日,20℃,9℃,晴转多云,西北风,小于3级
2013-03-25,星期一,17℃,10℃,阴转小雨,东风,小于3级
2013-03-26,星期二,20℃,7℃,阴转晴,东风,小于3级
2013-03-27,星期三,26℃,6℃,晴,微风,小于3级
2013-03-28,星期四,24℃,8℃,晴,东北风,小于3级
2013-03-29,星期五,23℃,11℃,多云转阴,东风,小于3级
2013-03-30,星期六,24℃,10℃,多云转晴,东风,小于3级
2013-03-31,星期日,24℃,11℃,晴转多云,微风,小于3级
2013-04-01,星期一,21℃,11℃,阴转多云,南风~微风,小于3级
2013-04-02,星期二,19℃,9℃,多云转阴,东北风,小于3级
2013-04-03,星期三,22℃,10℃,阴转多云,西风,小于3级
2013-04-04,星期四,18℃,10℃,多云转小雨,微风~北风,小于3级~3-4级
2013-04-05,星期五,15℃,9℃,小雨转多云,西风,3-4级
2013-04-06,星期六,18℃,5℃,多云转晴,微风,小于3级
2013-04-07,星期日,24℃,4℃,晴,东北风,小于3级
2013-04-08,星期一,22℃,8℃,晴,西北风,小于3级
2013-04-09,星期二,19℃,6℃,晴,东北风~东风,3-4级~小于3级
2013-04-10,星期三,20℃,5℃,晴,微风,小于3级
2013-04-11,星期四,23℃,8℃,晴,东风,小于3级
2013-04-12,星期五,27℃,9℃,晴,南风,小于3级
2013-04-13,星期六,29℃,11℃,晴,西南风,小于3级
2013-04-14,星期日,31℃,14℃,晴转多云,微风,小于3级
2013-04-15,星期一,32℃,16℃,多云,南风,小于3级
2013-04-16,星期二,33℃,17℃,多云转晴,南风,小于3级
2013-04-17,星期三,33℃,19℃,多云,西风,小于3级
2013-04-18,星期四,26℃,18℃,多云转阴,东风,小于3级~3-4级
2013-04-19,星期五,19℃,12℃,阴转小雨,东风,5-6级
2013-04-20,星期六,19℃,6℃,阴转多云,东风,小于3级
2013-04-21,星期日,18℃,8℃,多云,东风,小于3级
2013-04-22,星期一,15℃,9℃,阴转小雨,西南风,小于3级
2013-04-23,星期二,26℃,9℃,多云转晴,西风,小于3级
2013-04-24,星期三,27℃,11℃,晴,东风,小于3级
2013-04-25,星期四,29℃,13℃,晴,东北风,小于3级
2013-04-26,星期五,31℃,13℃,晴,东风,小于3级
2013-04-27,星期六,31℃,14℃,晴转多云,东风,小于3级
2013-04-28,星期日,32℃,18℃,晴转多云,微风,小于3级
2013-04-29,星期一,25℃,15℃,阴转小雨,西南风,小于3级
2013-04-30,星期二,24℃,13℃,阴转多云,东北风,小于3级
2013-05-01,星期三,26℃,14℃,多云,东风,小于3级
2013-05-02,星期四,27℃,15℃,阴,东风,小于3级
2013-05-03,星期五,32℃,17℃,多云,东风,小于3级
2013-05-04,星期六,28℃,18℃,多云转阴,东风,小于3级
2013-05-05,星期日,23℃,18℃,阴转小雨,东风,3-4级
2013-05-06,星期一,21℃,17℃,中雨,西南风,小于3级
2013-05-07,星期二,24℃,17℃,小雨转阴,东风,小于3级
2013-05-08,星期三,22℃,17℃,阴转小雨,西南风,小于3级
2013-05-09,星期四,25℃,15℃,小雨转多云,西风,小于3级
2013-05-10,星期五,28℃,13℃,多云转晴,东风,小于3级
2013-05-11,星期六,33℃,14℃,晴,西风,小于3级
2013-05-12,星期日,35℃,16℃,晴,东风,小于3级
2013-05-13,星期一,35℃,19℃,晴转多云,东风,小于3级
2013-05-14,星期二,34℃,20℃,多云,东风,小于3级
2013-05-15,星期三,28℃,22℃,阴,西南风,小于3级
2013-05-16,星期四,26℃,20℃,小雨,南风,小于3级
2013-05-17,星期五,24℃,16℃,小雨转中雨,西南风,小于3级
2013-05-18,星期六,29℃,16℃,小雨转多云,南风~微风,小于3级
2013-05-19,星期日,32℃,16℃,晴,东北风,小于3级
2013-05-20,星期一,33℃,18℃,晴,东风,小于3级
2013-05-21,星期二,36℃,19℃,晴,东风,小于3级
2013-05-22,星期三,34℃,21℃,晴,东风,小于3级
2013-05-23,星期四,33℃,22℃,阴转多云,南风,小于3级
2013-05-24,星期五,28℃,20℃,多云转阴,东南风,小于3级
2013-05-25,星期六,22℃,17℃,中雨转小到中雨,西南风,小于3级
2013-05-26,星期日,28℃,18℃,中雨转多云,南风,小于3级
2013-05-27,星期一,30℃,18℃,多云,东风,小于3级
2013-05-28,星期二,25℃,18℃,阴转中雨,西风,小于3级
2013-05-29,星期三,24℃,15℃,阴,南风,小于3级
2013-05-30,星期四,20℃,14℃,阴转中雨,西南风,小于3级
2013-05-31,星期五,27℃,15℃,阴转多云,东风,小于3级
2013-06-01,星期六,32℃,16℃,多云转晴,东风,小于3级
2013-06-02,星期日,35℃,18℃,晴,东北风,小于3级
2013-06-03,星期一,35℃,19℃,多云,东风,小于3级
2013-06-04,星期二,35℃,20℃,多云,东北风,小于3级
2013-06-05,星期三,35℃,20℃,晴转多云,东风,小于3级
2013-06-06,星期四,34℃,24℃,阴,东风,小于3级
2013-06-07,星期五,36℃,20℃,多云,东风,小于3级
2013-06-08,星期六,30℃,21℃,多云转阵雨,东风,小于3级
2013-06-09,星期日,29℃,20℃,小雨转阵雨,南风,小于3级
2013-06-10,星期一,29℃,16℃,阴转多云,西风,小于3级
2013-06-11,星期二,32℃,16℃,多云转晴,西北风,小于3级
2013-06-12,星期三,33℃,17℃,晴转多云,东风,小于3级
2013-06-13,星期四,34℃,17℃,晴转多云,东风,小于3级
2013-06-14,星期五,34℃,22℃,多云,东北风,小于3级
2013-06-15,星期六,36℃,23℃,雷阵雨,东北风,小于3级
2013-06-16,星期日,36℃,24℃,阴,东风,小于3级
2013-06-17,星期一,37℃,25℃,阴转多云,东风,小于3级
2013-06-18,星期二,37℃,26℃,多云,东风,小于3级
2013-06-19,星期三,35℃,28℃,多云转阴,东风,小于3级
2013-06-20,星期四,30℃,26℃,阵雨转中雨,东风,小于3级
2013-06-21,星期五,27℃,23℃,中雨,西风,小于3级
2013-06-22,星期六,26℃,22℃,小雨,西北风,小于3级
2013-06-23,星期日,31℃,22℃,阵雨,西南风,小于3级
2013-06-24,星期一,29℃,22℃,阴转阵雨,南风,小于3级
2013-06-25,星期二,34℃,21℃,阴转多云,南风,小于3级
2013-06-26,星期三,36℃,23℃,晴转多云,东北风,小于3级
2013-06-27,星期四,37℃,24℃,多云转晴,东风,小于3级
2013-06-28,星期五,37℃,24℃,晴,西南风,小于3级
2013-06-29,星期六,38℃,25℃,晴,东风,小于3级
2013-06-30,星期日,37℃,27℃,多云,东风,小于3级
2013-07-01,星期一,35℃,28℃,阴转雷阵雨,东风,小于3级
2013-07-02,星期二,33℃,26℃,阵雨,南风,小于3级
2013-07-03,星期三,34℃,25℃,阴,东风,小于3级
2013-07-04,星期四,32℃,24℃,阴转中雨,微风,小于3级
2013-07-05,星期五,36℃,23℃,阴转晴,西南风,小于3级
2013-07-06,星期六,36℃,24℃,晴转多云,东风,小于3级
2013-07-07,星期日,37℃,25℃,晴转多云,东风,小于3级
2013-07-08,星期一,34℃,27℃,多云转阴,东北风,小于3级
2013-07-09,星期二,29℃,25℃,阵雨转中雨,微风,小于3级
2013-07-10,星期三,30℃,23℃,阵雨,西风,小于3级
2013-07-11,星期四,33℃,24℃,阴转多云,东北风,小于3级
2013-07-12,星期五,34℃,25℃,多云,东风,小于3级
2013-07-13,星期六,33℃,26℃,多云,东风,小于3级
2013-07-14,星期日,32℃,25℃,阴,东北风,小于3级
2013-07-15,星期一,30℃,25℃,阴转中雨,西风,小于3级
2013-07-16,星期二,33℃,24℃,阵雨转阴,西风,小于3级
2013-07-17,星期三,30℃,23℃,多云转小雨,东北风,小于3级
2013-07-18,星期四,26℃,23℃,大雨,南风,小于3级
2013-07-19,星期五,31℃,22℃,阴转多云,东南风,小于3级
2013-07-20,星期六,32℃,24℃,阴转阵雨,南风,小于3级
2013-07-21,星期日,32℃,24℃,多云转阴,东风,小于3级
2013-07-22,星期一,28℃,24℃,小雨转中雨,东风,小于3级
2013-07-23,星期二,32℃,22℃,小雨转多云,东风,小于3级
2013-07-24,星期三,32℃,23℃,多云,东风,小于3级
2013-07-25,星期四,35℃,24℃,多云,东北风,小于3级
2013-07-26,星期五,35℃,26℃,多云,东北风,小于3级
2013-07-27,星期六,33℃,26℃,多云转阴,西南风,小于3级
2013-07-28,星期日,29℃,25℃,阴转阵雨,南风,小于3级
2013-07-29,星期一,30℃,23℃,中雨,西南风,小于3级
2013-07-30,星期二,34℃,22℃,多云,东风,小于3级
2013-07-31,星期三,33℃,23℃,多云转阴,东风,小于3级
2013-08-01,星期四,33℃,25℃,阵雨转中雨,东风,小于3级
2013-08-02,星期五,30℃,24℃,阵雨转中雨,东风,小于3级
2013-08-03,星期六,34℃,24℃,多云,东风,小于3级
2013-08-04,星期日,36℃,25℃,多云,东风,小于3级
2013-08-05,星期一,37℃,26℃,晴转多云,东北风,小于3级
2013-08-06,星期二,36℃,26℃,多云,东风,小于3级
2013-08-07,星期三,31℃,25℃,雷阵雨转中雨,东风,小于3级
2013-08-08,星期四,28℃,22℃,中雨转小雨,西风,小于3级
2013-08-09,星期五,32℃,21℃,多云,东风,小于3级
2013-08-10,星期六,35℃,23℃,晴转多云,东北风,小于3级
2013-08-11,星期日,33℃,25℃,多云,东风,小于3级
2013-08-12,星期一,33℃,25℃,雷阵雨转阴,南风,小于3级
2013-08-13,星期二,35℃,24℃,多云,东风,小于3级
2013-08-14,星期三,36℃,25℃,多云,东北风,小于3级
2013-08-15,星期四,36℃,26℃,晴转多云,东风,小于3级
2013-08-16,星期五,38℃,27℃,晴,东风,小于3级
2013-08-17,星期六,37℃,27℃,晴转多云,东风,小于3级
2013-08-18,星期日,35℃,26℃,晴转多云,东北风,小于3级
2013-08-19,星期一,35℃,25℃,晴,东北风,小于3级
2013-08-20,星期二,34℃,24℃,晴,东风,小于3级
2013-08-21,星期三,35℃,23℃,晴转多云,东风,小于3级
2013-08-22,星期四,35℃,24℃,晴转多云,东风,小于3级
2013-08-23,星期五,34℃,25℃,多云,东风,小于3级
2013-08-24,星期六,32℃,24℃,多云,东风,小于3级
2013-08-25,星期日,30℃,23℃,阴转小雨,东风,小于3级
2013-08-26,星期一,33℃,23℃,多云转阴,东风,小于3级
2013-08-27,星期二,32℃,24℃,多云转阴,西南风,小于3级
2013-08-28,星期三,27℃,23℃,中雨,南风,小于3级
2013-08-29,星期四,31℃,20℃,阴转多云,东风,小于3级
2013-08-30,星期五,31℃,19℃,晴,东北风,小于3级
2013-08-31,星期六,31℃,19℃,晴,东北风,小于3级
2013-09-01,星期日,27℃,20℃,多云转阴,东风,小于3级
2013-09-02,星期一,28℃,20℃,阴,东风,小于3级
2013-09-03,星期二,29℃,19℃,多云,东风,小于3级
2013-09-04,星期三,27℃,19℃,多云转阴,东风,小于3级
2013-09-05,星期四,27℃,18℃,小雨转阴,南风,小于3级
2013-09-06,星期五,28℃,19℃,多云,东风,小于3级
2013-09-07,星期六,26℃,19℃,多云转阴,东风,小于3级
2013-09-08,星期日,22℃,18℃,小雨,东风,小于3级
2013-09-09,星期一,28℃,17℃,多云,东风,小于3级
2013-09-10,星期二,28℃,17℃,多云,东风,小于3级
2013-09-11,星期三,28℃,19℃,多云转阴,东风,小于3级
2013-09-12,星期四,32℃,20℃,阴转多云,东风,小于3级
2013-09-13,星期五,35℃,19℃,晴,东风,小于3级
2013-09-14,星期六,34℃,18℃,晴,东风,小于3级
2013-09-15,星期日,34℃,20℃,晴转多云,东北风,小于3级
2013-09-16,星期一,34℃,21℃,多云,东风,小于3级
2013-09-17,星期二,34℃,22℃,多云,东风,小于3级
2013-09-18,星期三,32℃,23℃,阴,东风,小于3级
2013-09-19,星期四,26℃,21℃,阵雨,微风,小于3级
2013-09-20,星期五,28℃,18℃,阴,东风,小于3级
2013-09-21,星期六,27℃,19℃,多云,东北风,小于3级
2013-09-22,星期日,25℃,18℃,阴,南风,小于3级
2013-09-23,星期一,22℃,19℃,小雨,东风~西风,小于3级~3-4级
2013-09-24,星期二,20℃,13℃,小雨转阴,西南风,小于3级
2013-09-25,星期三,21℃,12℃,多云,西风,小于3级
2013-09-26,星期四,23℃,14℃,阴,东风,小于3级
2013-09-27,星期五,26℃,14℃,多云转晴,东风,小于3级
2013-09-28,星期六,31℃,13℃,晴,东北风,小于3级
2013-09-29,星期日,31℃,15℃,晴,东风,小于3级
2013-09-30,星期一,27℃,16℃,多云转阴,东风,小于3级
2013-10-01,星期二,29℃,18℃,阴转晴,东北风,小于3级
2013-10-02,星期三,29℃,15℃,晴,东风,小于3级
2013-10-03,星期四,28℃,15℃,多云,东北风,小于3级
2013-10-04,星期五,29℃,15℃,多云,东风,小于3级
2013-10-05,星期六,28℃,15℃,多云转阴,东北风,小于3级
2013-10-06,星期日,28℃,16℃,多云,东风,小于3级
2013-10-07,星期一,29℃,17℃,晴,东风,小于3级
2013-10-08,星期二,29℃,15℃,晴,东风,小于3级
2013-10-09,星期三,29℃,15℃,晴,东风,小于3级
2013-10-10,星期四,29℃,16℃,晴,东北风,小于3级
2013-10-11,星期五,30℃,15℃,晴转多云,西风,小于3级
2013-10-12,星期六,30℃,17℃,多云,东风,小于3级
2013-10-13,星期日,31℃,16℃,晴转多云,东风,小于3级
2013-10-14,星期一,31℃,16℃,晴转多云,东风,小于3级
2013-10-15,星期二,18℃,11℃,多云~阴,东风,小于3级
2013-10-16,星期三,19℃,11℃,阴,东北风,小于3级
2013-10-17,星期四,21℃,9℃,阴转多云,东风,小于3级
2013-10-18,星期五,20℃,10℃,多云,西南风,小于3级
2013-10-19,星期六,20℃,10℃,多云,西风,小于3级
2013-10-20,星期日,19℃,9℃,多云转阴,东北风,小于3级
2013-10-21,星期一,20℃,10℃,阴转多云,东风,小于3级
2013-10-22,星期二,22℃,10℃,晴,东风,小于3级
2013-10-23,星期三,23℃,9℃,晴,东北风,小于3级
2013-10-24,星期四,22℃,9℃,晴,东北风,小于3级
2013-10-25,星期五,18℃,9℃,晴转多云,东风,小于3级
2013-10-26,星期六,18℃,8℃,多云转阴,东北风,小于3级
2013-10-27,星期日,17℃,8℃,多云转阴,东风,小于3级
2013-10-28,星期一,21℃,9℃,阴,东北风,小于3级
2013-10-29,星期二,15℃,10℃,阴,东风,小于3级
2013-10-30,星期三,12℃,10℃,小雨,东北风,小于3级
2013-10-31,星期四,13℃,9℃,小雨,东风,小于3级
2013-11-01,星期五,13℃,9℃,小雨转阴,东风,小于3级
2013-11-02,星期六,17℃,7℃,多云,东风,小于3级
2013-11-03,星期日,17℃,7℃,阴,东北风,小于3级
2013-11-04,星期一,13℃,7℃,阴,东风,小于3级
2013-11-05,星期二,18℃,9℃,小雨转阴,东北风,小于3级
2013-11-06,星期三,17℃,7℃,多云转晴,西风,小于3级
2013-11-07,星期四,18℃,7℃,多云转阴,东北风,小于3级
2013-11-08,星期五,13℃,8℃,阴转小雨,南风,小于3级
2013-11-09,星期六,13℃,9℃,小雨,南风,小于3级
2013-11-10,星期日,10℃,7℃,阴,南风,小于3级
2013-11-11,星期一,11℃,6℃,阴,东北风,小于3级
2013-11-12,星期二,12℃,6℃,阴转多云,东风,小于3级
2013-11-13,星期三,13℃,6℃,多云,东风,小于3级
2013-11-14,星期四,15℃,6℃,多云转晴,西风,小于3级
2013-11-15,星期五,17℃,5℃,多云,东北风,小于3级
2013-11-16,星期六,16℃,3℃,晴,西风,小于3级
2013-11-17,星期日,16℃,3℃,晴,西风,小于3级
2013-11-18,星期一,15℃,2℃,晴,西北风,小于3级
2013-11-19,星期二,15℃,1℃,晴,西风,小于3级
2013-11-20,星期三,15℃,2℃,晴,东北风,小于3级
2013-11-21,星期四,13℃,2℃,晴转多云,东风,小于3级
2013-11-22,星期五,11℃,3℃,多云转阴,东风,小于3级
2013-11-23,星期六,10℃,4℃,小雨,西风,3-4级
2013-11-24,星期日,12℃,2℃,阴转晴,西风,3-4级~小于3级
2013-11-25,星期一,13℃,1℃,晴,东北风,小于3级
2013-11-26,星期二,13℃,0℃,晴,西风,小于3级
2013-11-27,星期三,10℃,0℃,晴,西北风,3-4级
2013-11-28,星期四,9℃,-1℃,晴,西北风,小于3级
2013-11-29,星期五,11℃,-3℃,晴,东北风,小于3级
2013-11-30,星期六,12℃,-1℃,晴转霾,东北风,小于3级
2013-12-01,星期日,14℃,0℃,晴,西风,小于3级
2013-12-02,星期一,15℃,0℃,晴,西北风,小于3级
2013-12-03,星期二,12℃,0℃,晴转多云,东北风,小于3级
2013-12-04,星期三,12℃,1℃,晴转多云,东北风,小于3级
2013-12-05,星期四,12℃,1℃,多云转晴,西北风,小于3级
2013-12-06,星期五,12℃,0℃,晴,西风,小于3级
2013-12-07,星期六,12℃,0℃,晴转多云,东风,小于3级
2013-12-08,星期日,11℃,1℃,多云,东风,小于3级
2013-12-09,星期一,7℃,1℃,晴,西北风,3-4级
2013-12-10,星期二,9℃,-2℃,晴转多云,西北风,小于3级
2013-12-11,星期三,7℃,-2℃,晴,东南风,小于3级
2013-12-12,星期四,10℃,-3℃,晴,西风,小于3级
2013-12-13,星期五,8℃,-2℃,多云,东风,小于3级
2013-12-14,星期六,8℃,-2℃,多云转阴,西南风,小于3级
2013-12-15,星期日,10℃,-2℃,阴转多云,西南风,小于3级
2013-12-16,星期一,12℃,0℃,多云转晴,东风,小于3级
2013-12-17,星期二,9℃,-2℃,晴,东风,小于3级
2013-12-18,星期三,6℃,-2℃,霾,东风,小于3级
2013-12-19,星期四,5℃,-2℃,霾,东风,小于3级
2013-12-20,星期五,3℃,-3℃,霾,东北风~东风,小于3级
2013-12-21,星期六,5℃,-1℃,霾,南风,小于3级
2013-12-22,星期日,5℃,-2℃,霾,东北风,小于3级
2013-12-23,星期一,5℃,-3℃,霾,西北风,小于3级
2013-12-24,星期二,4℃,-2℃,霾,东风,小于3级
2013-12-25,星期三,4℃,-2℃,霾转多云,微风,小于3级
2013-12-26,星期四,4℃,-2℃,多云转晴,西北风,3-4级
2013-12-27,星期五,4℃,-4℃,晴,西北风,小于3级
2013-12-28,星期六,4℃,-6℃,晴,西北风,小于3级
2013-12-29,星期日,7℃,-5℃,晴,东风,小于3级
2013-12-30,星期一,7℃,-4℃,多云转晴,西北风,小于3级
2013-12-31,星期二,11℃,-2℃,晴,西风,小于3级
2014-01-01,星期三,11℃,-1℃,晴转多云,西北风,小于3级
2014-01-02,星期四,11℃,-2℃,多云,西风,小于3级
2014-01-03,星期五,10℃,-1℃,多云转晴,西风,小于3级
2014-01-04,星期六,12℃,-2℃,晴,东北风,小于3级
2014-01-05,星期日,8℃,-2℃,晴转阴,东风,小于3级
2014-01-06,星期一,4℃,-1℃,阴转雨夹雪,南风,小于3级
2014-01-07,星期二,5℃,0℃,雨夹雪转阴,西南风,小于3级
2014-01-08,星期三,5℃,-1℃,多云转晴,西北风,小于3级
2014-01-09,星期四,6℃,-3℃,晴,东风,小于3级
2014-01-10,星期五,3℃,-2℃,阴,东北风,小于3级
2014-01-11,星期六,5℃,-3℃,阴,南风,小于3级
2014-01-12,星期日,5℃,-2℃,多云转晴,西风,小于3级
2014-01-13,星期一,8℃,-4℃,晴,西北风,小于3级
2014-01-14,星期二,6℃,-4℃,晴转多云,东风,小于3级
2014-01-15,星期三,5℃,-4℃,多云转阴,东南风,小于3级
2014-01-16,星期四,7℃,-3℃,阴转多云,南风,小于3级
2014-01-17,星期五,7℃,-3℃,晴,西北风,小于3级
2014-01-18,星期六,6℃,-3℃,多云,南风,小于3级
2014-01-19,星期日,5℃,-2℃,阴,东南风,小于3级
2014-01-20,星期一,8℃,-2℃,多云转晴,微风,小于3级
2014-01-21,星期二,7℃,-3℃,晴,东风,小于3级
2014-01-22,星期三,10℃,-4℃,晴,西北风,小于3级
2014-01-23,星期四,10℃,-3℃,晴转多云,南风,小于3级
2014-01-24,星期五,8℃,-1℃,多云,西风,小于3级
2014-01-25,星期六,9℃,0℃,多云,西北风,小于3级
2014-01-26,星期日,10℃,0℃,多云,西北风,小于3级
2014-01-27,星期一,9℃,0℃,多云转阴,西北风,小于3级
2014-01-28,星期二,10℃,0℃,多云转晴,西北风,小于3级
2014-01-29,星期三,11℃,1℃,多云,东北风,小于3级
2014-01-30,星期四,13℃,0℃,晴,西北风,小于3级
2014-01-31,星期五,14℃,1℃,多云,西风,小于3级
2014-02-01,星期六,14℃,1℃,霾转晴,东北风,小于3级
2014-02-02,星期日,13℃,1℃,多云转晴,东北风,小于3级
2014-02-03,星期一,13℃,1℃,多云转晴,东北风,小于3级
2014-02-04,星期二,12℃,0℃,多云转阴,东风,小于3级
2014-02-05,星期三,1℃,-1℃,小雪,东风,小于3级
2014-02-06,星期四,0℃,-3℃,阴转小雪,东北风,小于3级
2014-02-07,星期五,3℃,-4℃,小雪转多云,东北风,小于3级
2014-02-08,星期六,2℃,-4℃,多云转阴,东风,小于3级
2014-02-09,星期日,1℃,-4℃,小雪转阴,东风,小于3级
2014-02-10,星期一,1℃,-3℃,阴,东风,小于3级
2014-02-11,星期二,3℃,-4℃,多云转阴,东北风,小于3级
2014-02-12,星期三,2℃,-3℃,阴,东北风,小于3级
2014-02-13,星期四,2℃,-3℃,小雪转多云,东风,小于3级
2014-02-14,星期五,5℃,-3℃,晴转多云,东北风,小于3级
2014-02-15,星期六,5℃,-2℃,多云转阴,东北风,小于3级
2014-02-16,星期日,2℃,-2℃,雨夹雪转小雪,南风,小于3级
2014-02-17,星期一,1℃,-1℃,小雪转小到中雪,南风,小于3级
2014-02-18,星期二,2℃,-1℃,小到中雪转小雪,西南风,小于3级
2014-02-19,星期三,9℃,-2℃,多云转晴,东北风,小于3级
2014-02-20,星期四,10℃,-2℃,晴转多云,东北风,小于3级
2014-02-21,星期五,9℃,-1℃,多云,东风,小于3级
2014-02-22,星期六,9℃,0℃,多云,东风,小于3级
2014-02-23,星期日,9℃,1℃,多云,东风,小于3级
2014-02-24,星期一,9℃,1℃,霾转小雨,东风,小于3级
2014-02-25,星期二,10℃,3℃,阴转多云,东风,小于3级
2014-02-26,星期三,11℃,3℃,霾转阴,东风,小于3级
2014-02-27,星期四,10℃,4℃,阴,东风,小于3级
2014-02-28,星期五,8℃,4℃,小雨,南风,小于3级
2014-03-01,星期六,10℃,2℃,阴转多云,东风,小于3级
2014-03-02,星期日,11℃,1℃,多云转阴,东风,小于3级
2014-03-03,星期一,11℃,2℃,阴,东北风,小于3级
2014-03-04,星期二,13℃,3℃,小雨转多云,东风~西北风,小于3级~3-4级
2014-03-05,星期三,10℃,4℃,多云转阴,南风,小于3级
2014-03-06,星期四,7℃,3℃,小雨转阴,东风,小于3级
2014-03-07,星期五,7℃,2℃,小雨,东风,小于3级
2014-03-08,星期六,13℃,2℃,阴转晴,东风,小于3级
2014-03-09,星期日,15℃,2℃,晴转多云,南风,小于3级
2014-03-10,星期一,17℃,3℃,多云,东风,小于3级
2014-03-11,星期二,17℃,5℃,多云,东风,小于3级
2014-03-12,星期三,16℃,6℃,多云转晴,西北风,3-4级
2014-03-13,星期四,16℃,5℃,晴,东北风,小于3级
2014-03-14,星期五,17℃,3℃,晴转多云,西风,小于3级
2014-03-15,星期六,22℃,4℃,晴,东北风,小于3级
2014-03-16,星期日,24℃,6℃,晴,东风,小于3级
2014-03-17,星期一,22℃,8℃,多云,东北风,小于3级
2014-03-18,星期二,17℃,10℃,阴转多云,南风,小于3级
2014-03-19,星期三,16℃,9℃,阴转晴,东北风,小于3级
2014-03-20,星期四,17℃,6℃,多云,西南风,小于3级
2014-03-21,星期五,18℃,3℃,晴,东北风,小于3级
2014-03-22,星期六,19℃,5℃,晴转阴,东风,小于3级
2014-03-23,星期日,19℃,8℃,阴,东风,小于3级
2014-03-24,星期一,19℃,8℃,多云,东风,小于3级
2014-03-25,星期二,25℃,10℃,多云转晴,东风,小于3级
2014-03-26,星期三,27℃,10℃,晴,东风,小于3级
2014-03-27,星期四,21℃,12℃,晴转阴,东风,小于3级
2014-03-28,星期五,25℃,14℃,阵雨转多云,南风,小于3级
2014-03-29,星期六,24℃,11℃,多云,东风,小于3级
2014-03-30,星期日,17℃,11℃,阴转小雨,东风,小于3级
2014-03-31,星期一,19℃,12℃,小雨转多云,东风,小于3级
2014-04-01,星期二,23℃,9℃,多云转阴,东风,小于3级
2014-04-02,星期三,21℃,10℃,阴,东风,小于3级
2014-04-03,星期四,20℃,12℃,阴转多云,东北风,小于3级
2014-04-04,星期五,21℃,11℃,多云转阴,东北风,小于3级
2014-04-05,星期六,22℃,10℃,阴转多云,西南风,小于3级
2014-04-06,星期日,19℃,11℃,多云转阴,东风,小于3级
2014-04-07,星期一,22℃,9℃,多云转晴,东风,小于3级
2014-04-08,星期二,26℃,11℃,晴,东北风,小于3级
2014-04-09,星期三,24℃,12℃,多云转阴,东北风~西南风,小于3级
2014-04-10,星期四,24℃,16℃,小雨,东风,小于3级
2014-04-11,星期五,18℃,14℃,小雨转中雨,西南风,小于3级
2014-04-12,星期六,18℃,11℃,小雨转阴,东北风,小于3级
2014-04-13,星期日,23℃,11℃,多云,东北风,小于3级
2014-04-14,星期一,19℃,13℃,阴转阵雨,西南风,小于3级
2014-04-15,星期二,18℃,13℃,小雨,西南风,小于3级
2014-04-16,星期三,19℃,14℃,小雨,东北风,小于3级
2014-04-17,星期四,22℃,12℃,多云,东北风,小于3级
2014-04-18,星期五,18℃,13℃,小雨转中雨,西南风,小于3级
2014-04-19,星期六,17℃,13℃,小雨,东风,小于3级
2014-04-20,星期日,18℃,12℃,阴,南风,小于3级
2014-04-21,星期一,16℃,13℃,小雨,东风,小于3级
2014-04-22,星期二,21℃,11℃,多云,东北风,小于3级
2014-04-23,星期三,21℃,10℃,多云,东北风,小于3级
2014-04-24,星期四,21℃,11℃,多云转阵雨,东风,小于3级
2014-04-25,星期五,20℃,13℃,小雨转中雨,西北风,3-4级
2014-04-26,星期六,18℃,7℃,多云,东风,小于3级
2014-04-27,星期日,23℃,8℃,多云转晴,东风,小于3级
2014-04-28,星期一,23℃,12℃,多云转晴,东北风,小于3级
2014-04-29,星期二,27℃,13℃,晴,西风,小于3级
2014-04-30,星期三,28℃,14℃,晴转多云,东风,小于3级
2014-05-01,星期四,22℃,15℃,多云,西北风,3-4级
2014-05-02,星期五,21℃,11℃,多云,西南风,小于3级
2014-05-03,星期六,22℃,12℃,多云,东北风,小于3级
2014-05-04,星期日,23℃,12℃,多云转晴,西风,小于3级
2014-05-05,星期一,24℃,12℃,晴转多云,东风,小于3级
2014-05-06,星期二,28℃,12℃,多云转晴,西风,小于3级
2014-05-07,星期三,32℃,16℃,多云转晴,南风,小于3级
2014-05-08,星期四,31℃,17℃,晴转多云,东北风,小于3级
2014-05-09,星期五,28℃,20℃,阴转中雨,西南风,小于3级
