房源编号,所在城市,所在区县,所在街道或地区,小区名称,面积,租赁方式,朝向,月租,计费方式,室,厅,卫,入住,租期,看房,所在楼层,总楼层,电梯,车位,用水,用电,燃气,采暖
TJ2517931088291577856,天津,北辰,北仓镇,泽天下,67㎡,整租,南,1000元/月,None,1室,1厅,1卫,随时入住,暂无数据,需提前预约,高楼层,18层,有,暂无数据,民水,民电,有,集中供暖
TJ2520118055330390016,天津,北辰,双街,城际美景家园,57㎡,整租,南/北,800元/月,季付价,1室,1厅,1卫,随时入住,1年以内,需提前预约,高楼层,11层,有,暂无数据,民水,民电,有,集中供暖
TJ2520062578655772672,天津,西青,张家窝,保利金融街诺丁山,81㎡,整租,南,950元/月,月付价,2室,1厅,1卫,随时入住,1年以内,需提前预约,低楼层,18层,有,暂无数据,民水,民电,有,集中供暖
TJ2515218798400258048,天津,武清,武清其它,翡翠半岛,92㎡,整租,南,800元/月,年付价,2室,1厅,1卫,随时入住,1年以内,需提前预约,中楼层,7层,无,暂无数据,民水,暂无数据,有,集中供暖
TJ2515028390420430848,天津,武清,杨村,紫泉庭苑,93㎡,整租,南,800元/月,年付价,2室,2厅,1卫,随时入住,1年以内,需提前预约,中楼层,16层,有,免费使用,民水,民电,有,集中供暖
TJ2516567223565287424,天津,武清,下朱庄,君利新家园,79㎡,整租,南,650元/月,半年付价,1室,1厅,1卫,随时入住,1年以内,需提前预约,低楼层,18层,有,暂无数据,民水,民电,有,集中供暖
TJ2517217005493829632,天津,东丽,华明镇,金泰丽湾,100㎡,整租,南/北,1300元/月,None,2室,1厅,1卫,随时入住,暂无数据,需提前预约,中楼层,14层,有,暂无数据,民水,民电,有,集中供暖
TJ2510299309095002112,天津,河西,下瓦房,存诚里,20㎡,合租,南,890元/月,半年付价,4室,1厅,1卫,随时入住,1~36个月,随时可看,7,7层,无,暂无数据,民水,民电,有,暂无数据
TJ2517118499496148992,天津,宝坻,南关大街,宝平景苑西区,82㎡,整租,南,800元/月,年付价,2室,1厅,1卫,随时入住,暂无数据,需提前预约,高楼层,7层,无,免费使用,民水,民电,有,集中供暖
TJ2425519781316149248,天津,河西,越秀路,爱国里,18㎡,合租,北,790元/月,半年付价,4室,1厅,1卫,随时入住,1~36个月,随时可看,6,6层,无,暂无数据,民水,民电,有,暂无数据
TJ2519467390618836992,天津,宝坻,京津新城,上京嘉园,55㎡,整租,南,800元/月,年付价,1室,1厅,1卫,随时入住,1年以内,需提前预约,低楼层,18层,无,免费使用,暂无数据,暂无数据,暂无数据,暂无数据
TJ2512811983880069120,天津,河北,建昌道,红波西里,17㎡,合租,南,850元/月,月付价,3室,1厅,1卫,随时入住,1~12个月,随时可看,4,5层,有,免费使用,民水,民电,有,集中供暖
TJ2519617028697374720,天津,滨海新区,大港,福芳园,105㎡,整租,南,800元/月,月付价,2室,1厅,1卫,随时入住,1年以内,一般下班后可看,高楼层,18层,有,免费使用,民水,民电,有,集中供暖
TJ2520269811574390784,天津,西青,华苑,程华里,15㎡,合租,南,800元/月,月付价,3室,1厅,1卫,随时入住,1~12个月,随时可看,3,6层,无,免费使用,民水,民电,有,集中供暖
TJ2512824108656902144,天津,河东,太阳城,紫玉园,13㎡,合租,南,700元/月,月付价,4室,1厅,2卫,随时入住,1~12个月,随时可看,3,6层,无,免费使用,民水,民电,有,集中供暖
TJ2540499016865546240,天津,红桥,芥园道,先春园泉春里,15㎡,合租,南,900元/月,月付价,3室,1厅,1卫,随时入住,1~12个月,随时可看,5,24层,有,免费使用,民水,民电,有,集中供暖
TJ2502100806003081216,天津,滨海新区,大港,阳春里,64㎡,整租,南,1000元/月,季付价,2室,1厅,1卫,随时入住,1年以内,需提前预约,中楼层,6层,无,暂无数据,民水,民电,有,集中供暖
TJ2532066933134589952,天津,河北,王串场,宇萃里,25㎡,整租,南,1100元/月,年付价,1室,1厅,1卫,随时入住,1年,随时可看,6,6层,无,租用车位,民水,民电,有,集中供暖
TJ2502852343431692288,天津,滨海新区,大港,七邻里北区,65㎡,整租,南,800元/月,None,2室,1厅,1卫,随时入住,暂无数据,需提前预约,高楼层,6层,无,暂无数据,民水,民电,有,集中供暖
TJ2510299309095002112,天津,河西,下瓦房,存诚里,20㎡,合租,南,890元/月,半年付价,4室,1厅,1卫,随时入住,1~36个月,随时可看,7,7层,无,暂无数据,民水,民电,有,暂无数据
TJ2508448823022452736,天津,津南,八里台,融创星耀五洲,151㎡,整租,南/北,1000元/月,季付价,3室,2厅,3卫,随时入住,1年以内,一般下班后可看,低楼层,3层,有,暂无数据,民水,民电,有,自采暖
TJ2512824108656902144,天津,河东,太阳城,紫玉园,13㎡,合租,南,700元/月,月付价,4室,1厅,2卫,随时入住,1~12个月,随时可看,3,6层,无,免费使用,民水,民电,有,集中供暖
TJ2508580514235940864,天津,滨海新区,大港,建安里,62㎡,整租,南/北,900元/月,None,2室,1厅,1卫,随时入住,暂无数据,需提前预约,中楼层,6层,无,暂无数据,民水,民电,有,集中供暖
TJ2533859610365009920,天津,蓟州,蓟州城区,安裕新村,70㎡,整租,南/北,800元/月,None,2室,1厅,1卫,随时入住,1年以内,需提前预约,高楼层,6层,无,暂无数据,民水,民电,有,集中供暖
TJ2519617028697374720,天津,滨海新区,大港,福芳园,105㎡,整租,南,800元/月,月付价,2室,1厅,1卫,随时入住,1年以内,一般下班后可看,高楼层,18层,有,免费使用,民水,民电,有,集中供暖
TJ2520925241946423296,天津,东丽,万新街,海丽园,63㎡,整租,南,1300元/月,季付价,1室,1厅,1卫,随时入住,1年以内,需提前预约,中楼层,11层,有,暂无数据,民水,民电,有,集中供暖
TJ2521734295514005504,天津,津南,咸水沽,沽上江南,89㎡,整租,南,850元/月,季付价,2室,1厅,1卫,随时入住,1年以内,需提前预约,高楼层,30层,有,免费使用,民水,民电,有,集中供暖
TJ2512811983880069120,天津,河北,建昌道,红波西里,17㎡,合租,南,850元/月,月付价,3室,1厅,1卫,随时入住,1~12个月,随时可看,4,5层,有,免费使用,民水,民电,有,集中供暖
TJ2525224099316776960,天津,武清,黄庄,丽德花园,85㎡,整租,南,700元/月,半年付价,2室,1厅,1卫,随时入住,3年以内,需提前预约,中楼层,27层,有,免费使用,民水,民电,有,集中供暖
TJ2494206815571542016,天津,河东,大直沽,萦东温泉花园,15㎡,合租,南,800元/月,月付价,3室,1厅,1卫,随时入住,1~12个月,随时可看,5,6层,无,免费使用,民水,民电,有,集中供暖
TJ2526744406086918144,天津,西青,大寺,亲和美园,70㎡,整租,南/北,900元/月,半年付价,2室,1厅,1卫,随时入住,2年以内,需提前预约,低楼层,24层,有,暂无数据,暂无数据,暂无数据,有,集中供暖
TJ2537775317930745856,天津,滨海新区,大港,前光里,61㎡,整租,南/北,1000元/月,季付价,2室,1厅,1卫,随时入住,1年以内,需提前预约,高楼层,6层,无,免费使用,民水,民电,有,集中供暖
TJ2537790078584373248,天津,津南,咸水沽,惠安花园,54㎡,整租,南,1000元/月,年付价,1室,1厅,1卫,随时入住,1年以内,需提前预约,低楼层,26层,有,暂无数据,民水,民电,有,集中供暖
TJ2538532468839940096,天津,东丽,万新街,舒畅园,75㎡,整租,西北,1000元/月,季付价,2室,1厅,1卫,随时入住,1年以内,需提前预约,中楼层,18层,有,暂无数据,民水,民电,有,集中供暖
TJ2541313962633330688,天津,津南,辛庄,首创暖山,83㎡,整租,南,1100元/月,季付价,2室,1厅,1卫,随时入住,1年以内,需提前预约,高楼层,33层,有,免费使用,民水,民电,有,集中供暖
TJ2542566916833148928,天津,宝坻,潮阳大道,原筑,54㎡,整租,南,1000元/月,半年付价,1室,1厅,1卫,随时入住,1年以内,需提前预约,中楼层,11层,有,免费使用,民水,民电,有,集中供暖
TJ2513622008244477952,天津,东丽,空港经济区,童年湖,60㎡,整租,南/北,1000元/月,季付价,2室,1厅,2卫,随时入住,1年以内,需提前预约,中楼层,7层,有,暂无数据,商水,商电,无,集中供暖
TJ2536738413285998592,天津,河东,太阳城,丹荔园,16㎡,合租,南,800元/月,月付价,3室,1厅,1卫,随时入住,1~12个月,随时可看,3,5层,无,免费使用,民水,民电,有,集中供暖
TJ2515218798400258048,天津,武清,武清其它,翡翠半岛,92㎡,整租,南,800元/月,年付价,2室,1厅,1卫,随时入住,1年以内,需提前预约,中楼层,7层,无,暂无数据,民水,暂无数据,有,集中供暖
TJ2540499016865546240,天津,红桥,芥园道,先春园泉春里,15㎡,合租,南,900元/月,月付价,3室,1厅,1卫,随时入住,1~12个月,随时可看,5,24层,有,免费使用,民水,民电,有,集中供暖
TJ2515028390420430848,天津,武清,杨村,紫泉庭苑,93㎡,整租,南,800元/月,年付价,2室,2厅,1卫,随时入住,1年以内,需提前预约,中楼层,16层,有,免费使用,民水,民电,有,集中供暖
TJ2520269811574390784,天津,西青,华苑,程华里,15㎡,合租,南,800元/月,月付价,3室,1厅,1卫,随时入住,1~12个月,随时可看,3,6层,无,免费使用,民水,民电,有,集中供暖
TJ2517931088291577856,天津,北辰,北仓镇,泽天下,67㎡,整租,南,1000元/月,None,1室,1厅,1卫,随时入住,暂无数据,需提前预约,高楼层,18层,有,暂无数据,民水,民电,有,集中供暖
TJ2508055566782570496,天津,河北,真理道,靖江鑫园,13㎡,合租,南,750元/月,月付价,3室,1厅,1卫,随时入住,1~12个月,随时可看,3,6层,有,免费使用,民水,民电,有,集中供暖
TJ2516568029258072064,天津,河东,常州道,凤溪花园,9㎡,合租,南,950元/月,月付价,4室,1厅,1卫,随时入住,1~12个月,随时可看,5,5层,无,暂无数据,民水,民电,有,自采暖
TJ2560739747710910464,天津,南开,嘉陵道街,祥平园,16㎡,合租,南,999元/月,季付价,5室,2厅,2卫,随时入住,3~12个月,随时可看,5,6层,无,免费使用,民水,民电,有,集中供暖
TJ2495503188233830400,天津,静海,静海,禹洲御湖郡,95㎡,整租,南/北,800元/月,None,2室,1厅,1卫,随时入住,暂无数据,需提前预约,高楼层,11层,有,暂无数据,民水,民电,有,集中供暖
TJ2355680519011696640,天津,红桥,芥园道,宜兰里,15㎡,合租,南,601元/月,月付价,3室,1厅,1卫,随时入住,1个月以上,随时可看,6,6层,无,暂无数据,民水,民电,有,集中供暖
TJ2521514426054746112,天津,塘沽,北塘街,欣华苑,84㎡,整租,南/北,1000元/月,季付价,2室,1厅,1卫,随时入住,1年以内,需提前预约,中楼层,26层,有,暂无数据,暂无数据,暂无数据,有,集中供暖
TJ2544179220662460416,天津,河东,向阳楼,红顶花园北园,17㎡,合租,南,850元/月,月付价,3室,1厅,1卫,随时入住,1~12个月,随时可看,3,5层,无,免费使用,民水,民电,有,集中供暖
TJ2526066129609162752,天津,滨海新区,汉沽,东风南里,54㎡,整租,南/北,750元/月,季付价,1室,1厅,1卫,随时入住,1年以内,需提前预约,高楼层,6层,无,免费使用,民水,民电,有,集中供暖
TJ2563529978096386048,天津,红桥,西于庄,翠溪园,15㎡,合租,南,900元/月,月付价,4室,1厅,1卫,随时入住,6~12个月,随时可看,6,7层,无,免费使用,民水,民电,有,集中供暖
TJ2527379839393210368,天津,东丽,万新街,昆仑里(东丽区),61㎡,整租,东/西,1400元/月,None,2室,1厅,1卫,随时入住,暂无数据,需提前预约,高楼层,6层,无,暂无数据,民水,民电,有,集中供暖
TJ2490384129347297280,天津,武清,杨村,紫悦花园,148㎡,整租,南,800元/月,年付价,3室,2厅,1卫,随时入住,1年以内,需提前预约,高楼层,6层,有,免费使用,暂无数据,暂无数据,有,集中供暖
TJ2491969085945159680,天津,塘沽,北塘街,欣裕苑,98㎡,整租,南/北,1300元/月,季付价,2室,1厅,1卫,随时入住,1年以内,一般下班后可看,低楼层,24层,无,暂无数据,暂无数据,暂无数据,有,集中供暖
TJ2518621571074236416,天津,津南,咸水沽,益华里,84㎡,整租,南,1000元/月,季付价,2室,1厅,1卫,随时入住,1年以内,一般下班后可看,高楼层,6层,无,免费使用,民水,民电,有,集中供暖
TJ2518652713202352128,天津,宁河,宁河,银河花園,96㎡,整租,南/北,1100元/月,月付价,2室,1厅,1卫,随时入住,1年以内,需提前预约,中楼层,5层,无,暂无数据,暂无数据,暂无数据,暂无数据,集中供暖
TJ2563526676013391872,天津,河北,铁东路,北宁湾-宁宇家园,16㎡,合租,东南,1150元/月,月付价,3室,1厅,1卫,随时入住,6~12个月,随时可看,16,33层,有,租用车位,民水,民电,有,集中供暖
TJ2477265490288836608,天津,津南,咸水沽,光明南里,96㎡,整租,南,1000元/月,None,2室,1厅,1卫,随时入住,暂无数据,需提前预约,高楼层,6层,有,暂无数据,民水,民电,有,集中供暖
TJ2475885957539708928,天津,塘沽,杭州道,康迪苑,17㎡,合租,北,650元/月,月付价,4室,1厅,1卫,随时入住,1~12个月,随时可看,6,6层,无,免费使用,民水,民电,有,集中供暖
TJ2478261137712619520,天津,津南,咸水沽,光明北里,57㎡,整租,南/北,900元/月,季付价,2室,1厅,1卫,随时入住,2年以内,需提前预约,高楼层,6层,有,免费使用,暂无数据,暂无数据,有,集中供暖
TJ2422454933396922368,天津,滨海新区,大港,兴盛里(大港区),55㎡,整租,南/北,1000元/月,季付价,1室,1厅,1卫,随时入住,1年以内,需提前预约,高楼层,6层,无,暂无数据,民水,民电,有,集中供暖
TJ2419584167844257792,天津,东丽,华明镇,华润橡树湾,74㎡,整租,南,1200元/月,None,2室,1厅,1卫,随时入住,1年以内,需提前预约,低楼层,11层,有,租用车位,暂无数据,暂无数据,有,集中供暖
TJ2424567649267613696,天津,东丽,华明镇,大唐印象,105㎡,整租,南/北,1200元/月,None,3室,2厅,2卫,随时入住,暂无数据,需提前预约,低楼层,21层,有,暂无数据,民水,民电,有,集中供暖
TJ2458790826189258752,天津,宝坻,建设路,瑞景花园,60㎡,整租,南,900元/月,季付价,1室,1厅,1卫,随时入住,1年以内,需提前预约,高楼层,17层,有,免费使用,民水,民电,有,集中供暖
TJ2460177834338435072,天津,东丽,华明镇,华城庭苑,72㎡,整租,南,1200元/月,季付价,2室,1厅,1卫,随时入住,1~3个月,需提前预约,中楼层,22层,有,暂无数据,民水,民电,有,集中供暖
TJ2473110775779573760,天津,武清,静湖,碧溪秋园,70㎡,整租,南/北,600元/月,None,2室,1厅,1卫,随时入住,暂无数据,需提前预约,高楼层,6层,无,暂无数据,商水,商电,有,集中供暖
TJ2558818628770471936,天津,河东,春华街,城市之星大厦,13㎡,合租,南,750元/月,月付价,3室,1厅,1卫,随时入住,1~12个月,随时可看,10,20层,有,免费使用,民水,民电,有,集中供暖
TJ2469391391739363328,天津,津南,咸水沽,米兰阳光,72㎡,整租,南,1000元/月,半年付价,2室,1厅,1卫,随时入住,1年以内,需提前预约,中楼层,30层,有,租用车位,民水,民电,有,集中供暖
TJ2541116906002726912,天津,津南,双港,象博豪庭,10㎡,合租,北,760元/月,季付价,4室,2厅,2卫,随时入住,1年以上,随时可看,10,24层,有,租用车位,民水,民电,有,集中供暖
TJ2484537699663347712,天津,北辰,北仓镇,荣翔园,74㎡,整租,南/北,900元/月,季付价,2室,1厅,1卫,随时入住,3年以内,需提前预约,高楼层,28层,有,暂无数据,民水,民电,有,集中供暖
TJ2541301449128673280,天津,河东,春华街,城市之星大厦,17㎡,合租,南,950元/月,月付价,3室,1厅,1卫,随时入住,1~12个月,随时可看,11,20层,有,免费使用,民水,民电,有,集中供暖
TJ2488925282032435200,天津,东丽,华明镇,宝能城,87㎡,整租,南,800元/月,季付价,2室,1厅,1卫,随时入住,1年以内,需提前预约,中楼层,16层,有,租用车位,民水,民电,有,集中供暖
TJ2085323089272643584,天津,河东,万新村,环秀西里,14㎡,合租,南,1260元/月,季付价,2室,1厅,1卫,随时入住,1年,随时可看,6,6层,无,暂无数据,民水,民电,有,集中供暖
TJ2563606850050736128,天津,河东,春华街,瑞金里,48㎡,整租,南,1150元/月,年付价,1室,1厅,1卫,随时入住,1年,随时可看,2,6层,无,免费使用,民水,民电,有,集中供暖
TJ2562395999205335040,天津,西青,中北镇,碧水家园A区,17㎡,合租,东南,889元/月,月付价,3室,1厅,1卫,随时入住,1年,随时可看,3,6层,无,免费使用,民水,民电,有,集中供暖
TJ2342726289322156032,天津,北辰,北仓镇,荣溪园,87㎡,整租,南/北,1000元/月,月付价,2室,1厅,1卫,随时入住,1年以内,需提前预约,高楼层,18层,有,暂无数据,民水,民电,有,集中供暖
TJ2562395999205335040,天津,西青,中北镇,碧水家园A区,17㎡,合租,东南,889元/月,月付价,3室,1厅,1卫,随时入住,1年,随时可看,3,6层,无,免费使用,民水,民电,有,集中供暖
TJ2351457940755718144,天津,宝坻,北城路,宝鑫景苑,89㎡,整租,南/北,900元/月,半年付价,2室,1厅,1卫,随时入住,1年以内,需提前预约,高楼层,7层,无,免费使用,民水,民电,有,集中供暖
TJ2562215304688312320,天津,西青,中北镇,曹庄欣苑,15㎡,合租,南,1050元/月,季付价,3室,1厅,1卫,随时入住,1年,随时可看,15,27层,有,免费使用,民水,民电,有,集中供暖
TJ2289013713287512064,天津,武清,武清其它,经纬城市绿洲学知华庭,86㎡,整租,南,800元/月,半年付价,2室,1厅,1卫,随时入住,1年以内,需提前预约,中楼层,34层,有,暂无数据,民水,民电,有,集中供暖
TJ2562364028165038080,天津,河西,陈塘庄,北大资源阅城,15㎡,合租,南,1298元/月,月付价,2室,1厅,1卫,随时入住,3~12个月,随时可看,21,28层,有,免费使用,民水,民电,有,集中供暖
TJ2299315186248720384,天津,蓟州,蓟州城区,安裕新村,81㎡,整租,南/北,800元/月,年付价,2室,2厅,1卫,随时入住,1年以内,需提前预约,中楼层,6层,无,免费使用,民水,民电,有,集中供暖
TJ2555585176197398528,天津,西青,精武镇,中骏柏景湾,87㎡,整租,南,900元/月,月付价,3室,1厅,2卫,随时入住,1年以内,需提前预约,中楼层,13层,有,暂无数据,民水,民电,有,集中供暖
TJ2409384967693418496,天津,东丽,东丽湖,万科城盛锦苑,108㎡,整租,南,1000元/月,季付价,2室,2厅,1卫,随时入住,1年以内,需提前预约,低楼层,18层,有,免费使用,民水,民电,有,集中供暖
TJ2305555927912693760,天津,红桥,西沽街,民畅园,61㎡,整租,西北,1200元/月,季付价,2室,1厅,1卫,随时入住,1年以内,需提前预约,中楼层,32层,有,暂无数据,民水,民电,有,集中供暖
TJ2538500128432455680,天津,滨海新区,大港,福居园,55㎡,整租,南/北,500元/月,季付价,1室,1厅,1卫,随时入住,2年以内,需提前预约,中楼层,11层,有,免费使用,民水,民电,有,集中供暖
TJ2562391205258469376,天津,河西,陈塘庄,中海寰宇天下,11㎡,合租,南,848元/月,月付价,4室,1厅,1卫,随时入住,3~12个月,随时可看,8,30层,有,免费使用,民水,民电,有,集中供暖
TJ2537630586483515392,天津,河北,新开河,盛和家园,55㎡,整租,南,1500元/月,季付价,1室,1厅,1卫,随时入住,2年以内,需提前预约,中楼层,29层,有,暂无数据,民水,民电,有,集中供暖
TJ2562266779477090304,天津,河西,陈塘庄,四季馨园,12㎡,合租,南,798元/月,月付价,3室,1厅,1卫,随时入住,1年,随时可看,4,6层,无,免费使用,民水,民电,有,集中供暖
TJ2544181499570159616,天津,宝坻,翡翠湾,翡翠湾花园,95㎡,整租,南,1000元/月,半年付价,2室,1厅,1卫,随时入住,1年以内,需提前预约,中楼层,11层,有,免费使用,民水,民电,有,集中供暖
TJ2535283003815903232,天津,武清,下朱庄,君利新家园,90㎡,整租,南/北,550元/月,半年付价,2室,1厅,1卫,随时入住,1年以内,需提前预约,中楼层,18层,有,免费使用,民水,民电,有,集中供暖
TJ2554237607584743424,天津,津南,咸水沽,宝业馨苑,65㎡,整租,南,1000元/月,半年付价,1室,1厅,1卫,2020-08-01,2年以内,一般下班后可看,中楼层,17层,有,免费使用,民水,民电,有,集中供暖
TJ2483861448825249792,天津,滨海新区,汉沽,一商友谊广场,55㎡,整租,西,600元/月,None,1室,1厅,1卫,随时入住,暂无数据,需提前预约,中楼层,17层,有,暂无数据,商水,商电,有,集中供暖
TJ2555753262443929600,天津,塘沽,胡家园,滨慧花园（远洋城3期）,98㎡,整租,南,1500元/月,季付价,2室,2厅,1卫,随时入住,2年以内,需提前预约,高楼层,34层,有,暂无数据,民水,民电,有,集中供暖
TJ2549177362184929280,天津,东丽,华明镇,达园,70㎡,整租,南,1400元/月,季付价,1室,1厅,1卫,随时入住,1年以内,需提前预约,高楼层,6层,无,暂无数据,民水,民电,有,集中供暖
TJ2494643652039811072,天津,北辰,集贤里,集贤里(北辰区),60㎡,整租,南,950元/月,季付价,2室,1厅,1卫,随时入住,1年以内,需提前预约,中楼层,6层,无,免费使用,民水,民电,有,集中供暖
TJ2562444599083933696,天津,西青,张家窝,津洲花园,18㎡,合租,东,998元/月,月付价,3室,1厅,1卫,随时入住,1个月,随时可看,21,31层,无,免费使用,民水,民电,有,集中供暖
TJ2562851967328329728,天津,河北,建昌道,连云里(河北区),31㎡,整租,南,1300元/月,季付价,1室,1厅,1卫,随时入住,2年以内,需提前预约,中楼层,6层,无,暂无数据,暂无数据,暂无数据,有,集中供暖
TJ2563529662340792320,天津,南开,体育中心街,凌奥创意产业园,25㎡,合租,南,1198元/月,月付价,2室,1厅,1卫,随时入住,2~12个月,随时可看,12,13层,有,免费使用,民水,民电,有,集中供暖
TJ2559412860841369600,天津,东丽,华明镇,海上国际城,94㎡,整租,南,1000元/月,季付价,2室,1厅,1卫,2020-08-01,1年以内,需提前预约,中楼层,26层,有,暂无数据,民水,民电,有,集中供暖
TJ2563579038292000768,天津,南开,体育中心街,凌奥创意产业园,18㎡,合租,南,1298元/月,月付价,2室,1厅,1卫,随时入住,2~12个月,随时可看,6,13层,有,免费使用,民水,民电,有,集中供暖
TJ2559461272982921216,天津,宁河,宁河,宁新花园西区,82㎡,整租,南,1200元/月,月付价,2室,1厅,1卫,随时入住,1年以内,需提前预约,中楼层,20层,无,免费使用,暂无数据,暂无数据,有,集中供暖
TJ2563543867425030144,天津,南开,体育中心街,凌奥创意产业园,18㎡,合租,南,1198元/月,月付价,2室,1厅,1卫,随时入住,2~12个月,随时可看,7,13层,有,免费使用,民水,民电,有,集中供暖
TJ2562325264029712384,天津,西青,中北镇,溪悦园,18㎡,合租,南,1000元/月,月付价,3室,1厅,1卫,随时入住,1~12个月,随时可看,13,18层,有,免费使用,民水,民电,有,自采暖
TJ2564629631223742464,天津,河西,天塔街,气象南里,11㎡,合租,南,1530元/月,季付价,2室,1厅,1卫,随时入住,1年,随时可看,8,12层,有,暂无数据,民水,民电,有,集中供暖
TJ2559247572388544512,天津,塘沽,北塘街,水岸花园,76㎡,整租,西北,1100元/月,季付价,2室,2厅,1卫,随时入住,2年以内,需提前预约,低楼层,26层,有,暂无数据,民水,民电,有,集中供暖
TJ2564420343683096576,天津,河东,春华街,城市之光月光园,10㎡,合租,南,850元/月,月付价,4室,1厅,1卫,随时入住,1~12个月,随时可看,13,26层,有,租用车位,民水,民电,有,集中供暖
TJ2559331177601171456,天津,东丽,军粮城,丽水公寓,55㎡,整租,南,1200元/月,None,1室,1厅,1卫,随时入住,1年以内,需提前预约,低楼层,6层,有,暂无数据,民水,民电,有,集中供暖
TJ2564332268617203712,天津,南开,广开街,卫安中里,14㎡,合租,南,1099元/月,季付价,3室,1厅,1卫,随时入住,3~12个月,随时可看,7,7层,无,免费使用,民水,民电,有,集中供暖
TJ2564985928699346944,天津,开发区,第三大街,恂园里,51㎡,整租,南,1900元/月,None,1室,1厅,1卫,随时入住,暂无数据,一般下班后可看,中楼层,6层,无,暂无数据,民水,民电,有,集中供暖
TJ2564414159701671936,天津,河东,大直沽,大直沽三号路,15㎡,合租,南,1250元/月,月付价,2室,1厅,1卫,随时入住,1~12个月,随时可看,2,2层,无,租用车位,民水,民电,有,集中供暖
TJ2294238162341330944,天津,塘沽,胡家园,滨尚花园（远洋城5期）,113㎡,整租,南/北,1500元/月,季付价,2室,1厅,2卫,随时入住,1年以内,需提前预约,高楼层,34层,有,暂无数据,民水,民电,有,集中供暖
TJ2555055059751157760,天津,塘沽,新村街,崇安里,60㎡,整租,南,1300元/月,季付价,2室,1厅,1卫,随时入住,1年以内,需提前预约,高楼层,6层,无,免费使用,民水,民电,有,集中供暖
TJ2559899892038238208,天津,河西,挂甲寺,景兴西里,37㎡,整租,南,1300元/月,季付价,1室,1厅,1卫,随时入住,1年以内,需提前预约,高楼层,8层,无,暂无数据,民水,民电,有,集中供暖
TJ2559372627139903488,天津,河东,富民路,天琴里,44㎡,整租,南,1300元/月,季付价,1室,1厅,1卫,随时入住,2年以内,需提前预约,高楼层,6层,无,暂无数据,民水,民电,有,集中供暖
TJ2560122747631960064,天津,河西,小海地,桂江里(河西区),30㎡,整租,东,1400元/月,None,1室,1厅,1卫,随时入住,暂无数据,需提前预约,中楼层,6层,无,暂无数据,民水,民电,有,集中供暖
TJ2541975453146038272,天津,西青,精武镇,华木里,19㎡,合租,南,680元/月,月付价,3室,1厅,1卫,随时入住,2~12个月,随时可看,2,5层,无,租用车位,民水,民电,有,集中供暖
TJ2560175908606443520,天津,河北,江都路,明山里,35㎡,整租,西,1000元/月,季付价,1室,1厅,1卫,随时入住,2年以内,需提前预约,高楼层,6层,无,免费使用,暂无数据,暂无数据,有,集中供暖
TJ2522942801625219072,天津,河东,春华街,惠森花园,15㎡,合租,南,800元/月,月付价,4室,1厅,1卫,随时入住,1~12个月,随时可看,10,11层,有,免费使用,民水,民电,有,集中供暖
TJ2559211968443449344,天津,河东,唐家口,长征楼(河东区),38㎡,整租,南,1200元/月,季付价,1室,1厅,1卫,随时入住,2年以内,需提前预约,高楼层,6层,无,免费使用,民水,民电,有,集中供暖
TJ2559320267344322560,天津,河西,小海地,云江新苑,57㎡,整租,南,1600元/月,季付价,1室,1厅,1卫,随时入住,1年以内,需提前预约,中楼层,28层,有,租用车位,民水,民电,有,集中供暖
TJ2559387941676269568,天津,河北,王串场,容彩里,35㎡,整租,西南,1500元/月,季付价,1室,1厅,1卫,随时入住,1年以内,需提前预约,高楼层,7层,无,暂无数据,民水,民电,有,集中供暖
TJ2559965541812928512,天津,河西,陈塘庄,东江南里,32㎡,整租,南,1500元/月,季付价,1室,1厅,1卫,随时入住,1年以内,需提前预约,低楼层,6层,无,暂无数据,民水,民电,有,集中供暖
TJ2559969658832953344,天津,河东,万新村,松风东里,40㎡,整租,南,1300元/月,季付价,1室,1厅,1卫,随时入住,1年以内,需提前预约,高楼层,6层,无,暂无数据,民水,民电,有,集中供暖
TJ2562099360922083328,天津,河西,陈塘庄,雅致里,40㎡,整租,西,1600元/月,季付价,1室,1厅,1卫,随时入住,2年以内,需提前预约,中楼层,6层,无,免费使用,民水,民电,有,集中供暖
TJ2564398974677565440,天津,和平,南市,裕德里,32㎡,整租,东南,1800元/月,None,1室,0厅,1卫,随时入住,暂无数据,需提前预约,中楼层,8层,无,暂无数据,民水,民电,有,集中供暖
TJ2310789828444430336,天津,河东,向阳楼,万兴花园,14㎡,合租,南,1260元/月,季付价,3室,1厅,1卫,随时入住,1年,随时可看,1,7层,无,暂无数据,民水,民电,有,集中供暖
TJ2563595219211919360,天津,河北,建昌道,建昌里,51㎡,整租,南/北,1500元/月,季付价,2室,1厅,1卫,随时入住,1年以内,需提前预约,高楼层,6层,无,暂无数据,民水,民电,有,集中供暖
TJ2561500322203967488,天津,河东,春华街,瑞金里,45㎡,整租,东南,1150元/月,年付价,1室,1厅,1卫,随时入住,1年,随时可看,2,6层,无,暂无数据,民水,民电,有,集中供暖
TJ2563726686030413824,天津,和平,新兴街,乐昌里,33㎡,整租,南,1850元/月,季付价,1室,0厅,1卫,2020-07-20,3年以内,需提前预约,中楼层,6层,无,免费使用,民水,民电,有,集中供暖
TJ2560679929394241536,天津,河东,春华街,瑞金里,40㎡,整租,西南,1200元/月,年付价,1室,1厅,1卫,随时入住,6~12个月,随时可看,2,6层,无,免费使用,民水,民电,有,集中供暖
